month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2018-08,Bronx,SBS,BX41-SBS,Off-Peak,4934275,43283602.8,8.77202888
2018-08,Bronx,SBS,BX41-SBS,Peak,2664498,22755344.4,8.540199467
2018-08,Bronx,SBS,BX6-SBS,Off-Peak,5659279,43383373.2,7.665883446
2018-08,Bronx,SBS,BX6-SBS,Peak,3128555,22353390,7.144956697
2018-09,Bronx,SBS,BX12-SBS,Off-Peak,9345169,90563328,9.690924584
2018-09,Bronx,SBS,BX12-SBS,Peak,4800918,41283990,8.599186656
2018-09,Bronx,SBS,BX41-SBS,Off-Peak,4016991,35151681.6,8.750749404
2018-09,Bronx,SBS,BX41-SBS,Peak,2139026,17333074.8,8.103255781
2018-09,Bronx,SBS,BX6-SBS,Off-Peak,4627129,35332844.4,7.636018879
2018-09,Bronx,SBS,BX6-SBS,Peak,2617021,17684517.6,6.757499309
2018-10,Bronx,SBS,BX12-SBS,Off-Peak,10356007,99265179.6,9.585275444
2018-10,Bronx,SBS,BX12-SBS,Peak,5400667,44974047.6,8.327498733
2018-10,Bronx,SBS,BX41-SBS,Off-Peak,4824391,42420931.2,8.793012672
2018-10,Bronx,SBS,BX41-SBS,Peak,2569350,20600258.4,8.017692568
2018-10,Bronx,SBS,BX6-SBS,Off-Peak,5712509,44023251.6,7.706465163
2018-10,Bronx,SBS,BX6-SBS,Peak,3080242,21054834,6.835447994
2018-11,Bronx,SBS,BX12-SBS,Off-Peak,8362865,79895275.2,9.553577058
2018-11,Bronx,SBS,BX12-SBS,Peak,4043433,33588248.4,8.306864093
2018-11,Bronx,SBS,BX41-SBS,Off-Peak,3706750,32628006,8.80232171
2018-11,Bronx,SBS,BX41-SBS,Peak,1966505,15794874,8.031952118
2018-11,Bronx,SBS,BX6-SBS,Off-Peak,4857191,37228651.2,7.664646336
2018-11,Bronx,SBS,BX6-SBS,Peak,2703386,18427644,6.816504931
2018-12,Bronx,SBS,BX12-SBS,Off-Peak,8874775,83930860.8,9.457238161
2018-12,Bronx,SBS,BX12-SBS,Peak,4493803,38803179.6,8.634819906
2018-12,Bronx,SBS,BX41-SBS,Off-Peak,3827026,33888945.6,8.855164715
2018-12,Bronx,SBS,BX41-SBS,Peak,2066180,17082306,8.267578817
2018-12,Bronx,SBS,BX6-SBS,Off-Peak,4778946,37056855.6,7.754190066
2018-12,Bronx,SBS,BX6-SBS,Peak,2589157,18094208.4,6.98845547
2019-01,Bronx,SBS,BX12-SBS,Off-Peak,9526532,94684093.2,9.938988627
2019-01,Bronx,SBS,BX12-SBS,Peak,5386691,47764465.2,8.867125514
2019-01,Bronx,SBS,BX41-SBS,Off-Peak,4139654,38096326.8,9.202780426
2019-01,Bronx,SBS,BX41-SBS,Peak,2386223,20311617.6,8.512036637
2019-01,Bronx,SBS,BX6-SBS,Off-Peak,5239111,40946115.6,7.815470144
2019-01,Bronx,SBS,BX6-SBS,Peak,2995613,20542528.8,6.857537606
2019-02,Bronx,SBS,BX12-SBS,Off-Peak,9005224,85751762.4,9.522446349
2019-02,Bronx,SBS,BX12-SBS,Peak,5028386,43460002.8,8.642932901
2019-02,Bronx,SBS,BX41-SBS,Off-Peak,3882794,34843014,8.973696261
2019-02,Bronx,SBS,BX41-SBS,Peak,2191334,18178333.2,8.295555675
2019-02,Bronx,SBS,BX6-SBS,Off-Peak,4662365,36170222.4,7.757913076
2019-02,Bronx,SBS,BX6-SBS,Peak,2734177,18612921.6,6.807504269
2019-03,Bronx,SBS,BX12-SBS,Off-Peak,9693725,91367020.8,9.42537784
2019-03,Bronx,SBS,BX12-SBS,Peak,5179881,43498908,8.397665506
2019-03,Bronx,SBS,BX41-SBS,Off-Peak,4248806,37425160.8,8.808394829
2019-03,Bronx,SBS,BX41-SBS,Peak,2228894,18084002.4,8.113442093
2019-03,Bronx,SBS,BX6-SBS,Off-Peak,5088605,38876004,7.639815627
2019-03,Bronx,SBS,BX6-SBS,Peak,2848297,19255640.4,6.760404691
2019-04,Bronx,SBS,BX12-SBS,Off-Peak,10214191,95677869.6,9.367151016
2019-04,Bronx,SBS,BX12-SBS,Peak,5680795,49204602,8.661569727
2019-04,Bronx,SBS,BX41-SBS,Off-Peak,4597062,39955039.2,8.691429265
2019-04,Bronx,SBS,BX41-SBS,Peak,2456656,20383477.2,8.297245198
2019-04,Bronx,SBS,BX6-SBS,Off-Peak,5268897,40012009.2,7.594001021
2019-04,Bronx,SBS,BX6-SBS,Peak,2819753,19241506.8,6.823827052
2019-05,Bronx,SBS,BX12-SBS,Off-Peak,10011329,91587427.2,9.148378522
2019-05,Bronx,SBS,BX12-SBS,Peak,5125167,41881986,8.171828547
2019-05,Bronx,SBS,BX41-SBS,Off-Peak,4501090,39588184.8,8.795243996
2019-05,Bronx,SBS,BX41-SBS,Peak,2421634,20436213.6,8.439018283
2019-05,Bronx,SBS,BX6-SBS,Off-Peak,5149175,38664021.6,7.508779873
2019-05,Bronx,SBS,BX6-SBS,Peak,2719761,18255672,6.712233906
2019-06,Bronx,SBS,BX12-SBS,Off-Peak,9068108,82917280.8,9.143834723
2019-06,Bronx,SBS,BX12-SBS,Peak,4736472,39591525.6,8.358864066
2019-06,Bronx,SBS,BX41-SBS,Off-Peak,4313651,37961964,8.80042544
2019-06,Bronx,SBS,BX41-SBS,Peak,2302242,19431637.2,8.440310445
2019-06,Bronx,SBS,BX6-SBS,Off-Peak,4921100,36353689.2,7.387309585
2019-06,Bronx,SBS,BX6-SBS,Peak,2531023,16858148.4,6.660606561
2019-07,Bronx,SBS,BX12-SBS,Off-Peak,11588331,106089721.2,9.154874951
2019-07,Bronx,SBS,BX12-SBS,Peak,5317775,46819429.2,8.804326847
2019-07,Bronx,SBS,BX41-SBS,Off-Peak,5033384,45336034.8,9.007068565
2019-07,Bronx,SBS,BX41-SBS,Peak,2775381,24641974.8,8.878771888
2019-07,Bronx,SBS,BX6-SBS,Off-Peak,5195361,38598253.2,7.429368854
2019-07,Bronx,SBS,BX6-SBS,Peak,2782320,19128074.4,6.874865005
2019-08,Bronx,SBS,BX12-SBS,Off-Peak,11930092,111453040.8,9.342177814
2019-08,Bronx,SBS,BX12-SBS,Peak,5651510,51580209.6,9.126801439
2019-08,Bronx,SBS,BX41-SBS,Off-Peak,4718517,42938964,9.10009734
2019-08,Bronx,SBS,BX41-SBS,Peak,2594748,23522508,9.065430631
2019-08,Bronx,SBS,BX6-SBS,Off-Peak,4793748,35936380.8,7.496510205
2019-08,Bronx,SBS,BX6-SBS,Peak,2631946,18377640,6.982529277
2019-09,Bronx,SBS,BX12-SBS,Off-Peak,8676722,79120965.6,9.118762316
2019-09,Bronx,SBS,BX12-SBS,Peak,4457878,36145659.6,8.108265771
2019-09,Bronx,SBS,BX41-SBS,Off-Peak,4223252,37341025.2,8.84177056
2019-09,Bronx,SBS,BX41-SBS,Peak,2258714,18846306,8.343821307
2019-09,Bronx,SBS,BX6-SBS,Off-Peak,4480875,33445490.4,7.464053427
2019-09,Bronx,SBS,BX6-SBS,Peak,2388158,15959505.6,6.682767891
2019-10,Bronx,SBS,BX12-SBS,Off-Peak,9795535,90619045.2,9.251056241
2019-10,Bronx,SBS,BX12-SBS,Peak,5020042,41169265.2,8.200980231
2019-10,Bronx,SBS,BX41-SBS,Off-Peak,4952002,43992414,8.883763375
2019-10,Bronx,SBS,BX41-SBS,Peak,2638841,21817566,8.267859261
2019-10,Bronx,SBS,BX6-SBS,Off-Peak,5304937,40180856.4,7.574238186
2019-10,Bronx,SBS,BX6-SBS,Peak,2878763,19421251.2,6.746387667
2019-11,Bronx,SBS,BX12-SBS,Off-Peak,8125210,75747600,9.322540587
2019-11,Bronx,SBS,BX12-SBS,Peak,3942054,32500782,8.244631352
2019-11,Bronx,SBS,BX41-SBS,Off-Peak,4062072,36234536.4,8.920210277
2019-11,Bronx,SBS,BX41-SBS,Peak,2138239,17597768.4,8.230028729
2019-11,Bronx,SBS,BX6-SBS,Off-Peak,4872618,36920689.2,7.577177033
2019-11,Bronx,SBS,BX6-SBS,Peak,2660371,17774035.2,6.681036292
2019-12,Bronx,SBS,BX12-SBS,Off-Peak,8320767,77212756.8,9.279523967
