Date,Lcl_Bus_Speeds,SBS_Bus_Speeds
2020-06,6.534836611,
2020-06,6.336425883,
2020-06,6.3432867,
2020-06,7.545942784,
2020-06,6.288838791,
2020-06,10.42165271,
2020-06,6.283097625,
2020-06,8.862570121,
2020-06,6.571210452,
2020-06,6.669980121,
2020-06,8.290751759,
2020-06,6.275317398,
2020-07,7.243692274,
2020-07,8.689791949,
2020-07,5.746476347,
2020-07,10.24021837,
2020-07,6.086809077,
2020-07,5.940038716,
2020-07,8.950143634,
2020-07,6.828690127,
2020-07,5.105943773,
2020-07,6.006956843,
2020-07,8.714502027,
2020-07,6.560585648,
2020-07,6.373647815,
2020-07,11.50260089,
2020-07,9.509765113,
2020-07,7.056838344,
2020-07,7.174756411,
2020-07,6.751691184,
2020-07,15.0627988,
2020-07,6.804969559,
2020-07,7.553735425,
2020-07,7.762172282,
2020-07,5.661745925,
2020-07,6.223683369,
2020-07,7.349506035,
2020-07,5.065632816,
2020-07,6.166613577,
2020-07,7.336272278,
2020-07,6.320197582,
2020-07,6.18431192,
2020-07,6.257134586,
2020-07,7.361650238,
2020-07,6.300260728,
2020-07,10.42665591,
2020-07,6.121059492,
2020-07,8.899324895,
2020-07,6.436280549,
2020-07,6.541697636,
2020-07,8.164372052,
2020-07,6.122787223,
2020-08,7.155360098,
2020-08,8.650098033,
2020-08,5.795045365,
2020-08,10.29668929,
2020-08,6.020908352,
2020-08,5.958517618,
2020-08,8.919008507,
2020-08,6.720745018,
2020-08,5.096042933,
2020-08,5.7418426,
2020-08,8.631805775,
2020-08,6.541835824,
2020-08,6.253988704,
2020-08,11.58409057,
2020-08,9.403472683,
2020-08,7.075879649,
2020-08,7.082312745,
2020-08,6.745924974,
2020-08,14.8993196,
2020-08,6.869183672,
2020-08,7.546520096,
2020-08,7.779559537,
2020-08,5.639979848,
2020-08,6.135234656,
2020-08,7.262392599,
2020-08,5.102180658,
2020-08,6.217384096,
2020-08,7.277722751,
2020-08,6.299242701,
2020-08,6.117177752,
2020-08,6.250507553,
2020-08,7.400686089,
2020-08,6.264828976,
2020-08,10.20868285,
2020-08,6.06441001,
2020-08,8.748889296,
2020-08,6.372859291,
2020-08,6.600967372,
2020-08,7.990347539,
2020-08,6.088354483,
2020-09,7.075367272,
2020-09,8.312299381,
2020-09,5.695879262,
2020-09,8.23317684,
2020-09,6.021120909,
2020-09,5.938268298,
2020-09,8.645986623,
2020-09,6.74596664,
2020-09,5.094111445,
2020-09,5.710401662,
2020-09,8.434523724,
2020-09,6.502571549,
2020-09,6.119284268,
2020-09,11.43304169,
2020-09,9.423213842,
2020-09,6.867048975,
2020-09,7.218203341,
2020-09,6.612185718,
2020-09,14.95591025,
2020-09,6.775306592,
2020-09,7.546147579,
2020-09,7.688393461,
2020-09,5.722027121,
2020-09,5.949519372,
2020-09,7.152538177,
2020-09,5.058288476,
2020-09,6.0925051,
2020-09,7.128946509,
2020-09,6.27444625,
2020-09,6.215316164,
2020-09,6.120807333,
2020-09,7.199935239,
2020-09,6.179198357,
2020-09,10.19241052,
2020-09,6.063382259,
2020-09,8.264972757,
2020-09,6.37159953,
2020-09,6.523468272,
2020-09,8.047313263,
2020-09,6.053016756,
2020-10,6.968705323,
2020-10,8.256540415,
2020-10,5.638591818,
2020-10,8.176691943,
2020-10,5.981505206,
2020-10,5.873357991,
2020-10,8.728148486,
2020-10,6.708221606,
2020-10,5.114169501,
2020-10,5.73604148,
2020-10,8.373968992,
2020-10,6.448495063,
2020-10,6.123576658,
2020-10,11.25849447,
2020-10,9.276692231,
2020-10,6.868299719,
2020-10,7.100330963,
2020-10,6.632981075,
2020-10,15.12380536,
2020-10,6.839987961,
2020-10,7.476561321,
2020-10,7.626874048,
2020-10,5.710214861,
2020-10,5.929806932,
2020-10,7.199536449,
2020-10,5.008157991,
2020-10,6.1046661,
2020-10,7.047482644,
2020-10,6.274904844,
2020-10,6.139848151,
2020-10,6.18749996,
2020-10,7.231118093,
2020-10,6.165607092,
2020-10,10.56430485,
2020-10,6.089239748,
2020-10,8.138708797,
2020-10,6.424183218,
2020-10,6.412443555,
2020-10,8.062437034,
2020-10,6.077391948,
2020-11,7.01244625,
2020-11,8.269086018,
2020-11,5.646846361,
2020-11,8.378495723,
2020-11,5.956544036,
2020-11,5.910658738,
2020-11,8.740267748,
2020-11,6.801976747,
2020-11,5.17076075,
2020-11,5.746865763,
2020-11,8.457132454,
2020-11,6.496915625,
2020-11,6.193818565,
2020-11,11.37279239,
2020-11,9.2636196,
2020-11,6.88170767,
2020-11,7.046243829,
2020-11,6.672152264,
2020-11,15.31695221,
2020-11,6.905676292,
2020-11,7.528451175,
2020-11,7.810763341,
2020-11,5.750745487,
2020-11,5.941648534,
2020-11,7.340470151,
2020-11,5.047320004,
2020-11,6.036229753,
2020-11,7.145924233,
2020-11,6.378964207,
2020-11,6.077403423,
2020-11,6.177116967,
2020-11,7.223534139,
2020-11,6.23241131,
2020-11,10.27416123,
2020-11,6.096766418,
2020-11,8.287734857,
2020-11,6.36420147,
2020-11,6.566196728,
2020-11,8.208324125,
2020-11,6.082115205,
2020-12,6.940204336,
2020-12,8.314746742,
2020-12,5.590826043,
2020-12,8.342775459,
2020-12,5.848537387,
2020-12,5.942300974,
2020-12,8.812146251,
2020-12,6.841667584,
2020-12,5.191157487,
2020-12,5.759764516,
2020-12,8.376266744,
2020-12,6.505946182,
2020-12,6.195963554,
2020-12,11.35692567,
2020-12,9.289400063,
2020-12,6.862709057,
2020-12,7.035073049,
2020-12,6.726106756,
2020-12,15.23747606,
2020-12,6.964345856,
2020-12,7.569014585,
2020-12,7.723667713,
2020-12,5.777934222,
2020-12,6.228703606,
2020-12,7.463596371,
2020-12,5.009444471,
2020-12,6.124853296,
2020-12,7.031903387,
2020-12,6.324242421,
2020-12,6.314100435,
2020-12,6.201378493,
2020-12,7.182148936,
2020-12,6.206847835,
2020-12,10.33357491,
2020-12,6.11108121,
2020-12,8.515326138,
2020-12,6.493784051,
2020-12,6.757620379,
2020-12,8.219312474,
2020-12,6.095503608,
2021-01,7.108774843,
2021-01,8.468237141,
2021-01,5.806661701,
2021-01,8.66447485,
2021-01,5.875189867,
2021-01,6.067878647,
2021-01,9.113363166,
2021-01,6.981265057,
2021-01,5.261328809,
2021-01,5.863817859,
2021-01,8.562143416,
2021-01,6.635423685,
2021-01,6.268263588,
2021-01,11.60499702,
2021-01,9.63372636,
2021-01,6.993785705,
2021-01,7.493362925,
2021-01,6.875056027,
2021-01,15.64267836,
2021-01,7.08006654,
2021-01,7.750096865,
2021-01,7.896600248,
2021-01,5.935020667,
2021-01,6.469894647,
2021-01,7.611766543,
2021-01,5.123193571,
2021-01,6.204017326,
2021-01,7.39277741,
2021-01,6.478700539,
2021-01,6.377781646,
2021-01,6.239444016,
2021-01,7.527862091,
2021-01,6.265697201,
2021-01,10.62158752,
2021-01,6.233362672,
2021-01,8.474056463,
2021-01,6.476813763,
2021-01,6.945502028,
2021-01,8.22896012,
2021-01,6.291687112,
2021-02,6.96750269,
2021-02,8.28919876,
2021-02,5.681706207,
2021-02,8.234045851,
2021-02,5.770436764,
2021-02,5.885256291,
2021-02,8.819545662,
2021-02,6.84414588,
2021-02,5.170532874,
2021-02,5.769155869,
