month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2018-01,Bronx,LCL/LTD,BX36,Peak,8203311,48478597.2,5.909637852
2018-01,Bronx,LCL/LTD,BX38,Off-Peak,3780070,27073634.4,7.162204509
2018-01,Bronx,LCL/LTD,BX38,Peak,2151201,14183985.6,6.593519434
2018-01,Bronx,LCL/LTD,BX39,Off-Peak,7884703,53704324.8,6.811204531
2018-01,Bronx,LCL/LTD,BX39,Peak,4141172,25732227.6,6.21375485
2018-01,Bronx,LCL/LTD,BX4,Off-Peak,3026185,20543148,6.788464023
2018-01,Bronx,LCL/LTD,BX4,Peak,1526172,9072756,5.944779488
2018-01,Bronx,LCL/LTD,BX40,Off-Peak,5957480,39987345.6,6.712124187
2018-01,Bronx,LCL/LTD,BX40,Peak,2582379,15204196.8,5.887670555
2018-01,Bronx,LCL/LTD,BX41,Off-Peak,5854678,45829371.6,7.827821035
2018-01,Bronx,LCL/LTD,BX41,Peak,2315972,15385665.6,6.643286534
2018-01,Bronx,LCL/LTD,BX42,Off-Peak,6073411,39094660.8,6.437018802
2018-01,Bronx,LCL/LTD,BX42,Peak,2841730,16684639.2,5.871296429
2018-01,Bronx,LCL/LTD,BX46,Off-Peak,708362,6942949.2,9.801413966
2018-01,Bronx,LCL/LTD,BX46,Peak,262857,2421910.8,9.213796094
2018-01,Bronx,LCL/LTD,BX4A,Off-Peak,2738896,17460673.2,6.375077111
2018-01,Bronx,LCL/LTD,BX4A,Peak,1752565,10216407.6,5.829402961
2018-01,Bronx,LCL/LTD,BX5,Off-Peak,4789225,43221837.6,9.024808315
2018-01,Bronx,LCL/LTD,BX5,Peak,2814793,21988980,7.811935016
2018-01,Bronx,LCL/LTD,BX6,Off-Peak,7529542,54445068,7.230860522
2018-01,Bronx,LCL/LTD,BX6,Peak,3244216,19607011.2,6.043682418
2018-01,Bronx,LCL/LTD,BX7,Off-Peak,7025687,48857752.8,6.954160184
2018-01,Bronx,LCL/LTD,BX7,Peak,3901622,23755161.6,6.088534871
2018-01,Bronx,LCL/LTD,BX8,Off-Peak,6048480,50600095.2,8.365753908
2018-01,Bronx,LCL/LTD,BX8,Peak,3299807,26096148,7.908386157
2018-01,Bronx,LCL/LTD,BX9,Off-Peak,14030826,91062529.2,6.490175931
2018-01,Bronx,LCL/LTD,BX9,Peak,7252663,41419206,5.71089626
2018-02,Bronx,LCL/LTD,BX1,Off-Peak,9152602,63375782.4,6.924345929
2018-02,Bronx,LCL/LTD,BX1,Peak,4754401,31576456.8,6.641521571
2018-02,Bronx,LCL/LTD,BX10,Off-Peak,6465275,56539656,8.745127779
2018-02,Bronx,LCL/LTD,BX10,Peak,3473523,26505540,7.630736863
2018-02,Bronx,LCL/LTD,BX11,Off-Peak,7261689,45248335.2,6.231103425
2018-02,Bronx,LCL/LTD,BX11,Peak,4549282,24145869.6,5.307622082
2018-02,Bronx,LCL/LTD,BX12,Off-Peak,4777382,43156076.4,9.033415456
2018-02,Bronx,LCL/LTD,BX12,Peak,2316564,17649540,7.618844116
2018-02,Bronx,LCL/LTD,BX13,Off-Peak,4625125,29044656,6.279755898
2018-02,Bronx,LCL/LTD,BX13,Peak,3093108,16486905.6,5.330206899
2018-02,Bronx,LCL/LTD,BX15,Off-Peak,11431364,71310603.6,6.238153522
2018-02,Bronx,LCL/LTD,BX15,Peak,5088405,27410695.2,5.386893378
